,game_date,play_id,play_type_nfl,punt_inside_twenty,game_id,possession_team,home_team,away_team,home_score,away_score,total_home_score,total_away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,return_touchdown
39088,2017-12-17,2018.0,PUNT,0.0,2017_15_LA_SEA,SEA,SEA,LA,7,42,0.0,27.0,0.0026662,Half1,1893.0,punt,0.9973338,26.0,0.0
39495,2017-12-17,3506.0,PUNT,0.0,2017_15_MIA_BUF,BUF,BUF,MIA,24,16,24.0,6.0,0.99003875,Half2,586.0,punt,0.009961247,26.0,0.0
40652,2017-12-24,488.0,PUNT,0.0,2017_16_CLE_CHI,CLE,CHI,CLE,20,3,0.0,0.0,0.3857455,Half1,3104.0,punt,0.6142545,28.0,0.0
42755,2017-12-25,2336.0,PUNT,0.0,2017_16_PIT_HOU,HOU,HOU,PIT,6,34,0.0,20.0,0.028210502,Half2,1258.0,punt,0.9717895,27.0,0.0
42802,2017-12-25,3434.0,PUNT,0.0,2017_16_PIT_HOU,HOU,HOU,PIT,6,34,6.0,34.0,6.0441584e-05,Half2,181.0,punt,0.99993956,21.0,0.0
43308,2017-12-31,3502.0,PUNT,0.0,2017_17_ARI_SEA,ARI,SEA,ARI,24,26,17.0,23.0,0.771827,Half2,686.0,punt,0.22817302,27.0,0.0
43766,2017-12-31,1395.0,PUNT,0.0,2017_17_CHI_MIN,MIN,MIN,CHI,23,10,14.0,6.0,0.89069545,Half1,2165.0,punt,0.10930455,59.0,1.0
44500,2017-12-31,1603.0,PUNT,0.0,2017_17_GB_DET,GB,DET,GB,35,11,10.0,3.0,0.19771628,Half1,2113.0,punt,0.8022837,20.0,0.0
44587,2017-12-31,3700.0,PUNT,0.0,2017_17_GB_DET,DET,DET,GB,35,11,35.0,11.0,0.9997607,Half2,146.0,punt,0.00023931265,28.0,0.0
44736,2017-12-31,3301.0,PUNT,0.0,2017_17_HOU_IND,HOU,IND,HOU,22,13,19.0,13.0,0.11861545,Half2,413.0,punt,0.88138455,30.0,0.0
45910,2017-12-31,2039.0,PUNT,0.0,2017_17_WAS_NYG,NYG,NYG,WAS,18,10,15.0,7.0,0.7672799,Half1,1818.0,punt,0.23272008,29.0,0.0
47608,2018-01-21,3543.0,PUNT,0.0,2017_20_JAX_NE,JAX,NE,JAX,24,20,17.0,20.0,0.5591893,Half2,310.0,punt,0.44081068,20.0,0.0
48231,2018-09-09,1136.0,PUNT,0.0,2018_01_BUF_BAL,BUF,BAL,BUF,47,3,14.0,0.0,0.110711694,Half1,2661.0,punt,0.8892883,51.0,0.0
48434,2018-09-09,1149.0,PUNT,0.0,2018_01_CHI_GB,GB,GB,CHI,24,23,0.0,10.0,0.17933905,Half1,2345.0,punt,0.82066095,42.0,0.0
48788,2018-09-09,1047.0,PUNT,0.0,2018_01_DAL_CAR,DAL,CAR,DAL,16,8,0.0,0.0,0.34798422,Half1,2553.0,punt,0.6520158,30.0,0.0
49309,2018-09-09,117.0,PUNT,0.0,2018_01_KC_LAC,LAC,LAC,KC,28,38,0.0,6.0,0.51455146,Half1,3504.0,punt,0.48544854,91.0,1.0
49694,2018-09-10,469.0,PUNT,0.0,2018_01_NYJ_DET,DET,DET,NYJ,17,48,7.0,0.0,0.742202,Half1,3129.0,punt,0.25779802,43.0,0.0
49789,2018-09-10,2626.0,PUNT,0.0,2018_01_NYJ_DET,DET,DET,NYJ,17,48,17.0,37.0,0.06731408,Half2,1340.0,punt,0.9326859,78.0,1.0
49877,2018-09-09,588.0,PUNT,0.0,2018_01_PIT_CLE,CLE,CLE,PIT,21,21,0.0,0.0,0.5479139,Half1,3094.0,punt,0.4520861,22.0,0.0
49963,2018-09-09,2632.0,PUNT,0.0,2018_01_PIT_CLE,CLE,CLE,PIT,21,21,7.0,14.0,0.21046437,Half2,1278.0,punt,0.78953564,20.0,0.0
50723,2018-09-09,1993.0,PUNT,0.0,2018_01_TEN_MIA,MIA,MIA,TEN,27,20,7.0,3.0,0.6700858,Half2,1725.0,punt,0.3299142,26.0,0.0
50983,2018-09-09,3706.0,PUNT,0.0,2018_01_WAS_ARI,WAS,ARI,WAS,6,24,6.0,24.0,0.99778146,Half2,288.0,punt,0.0022185445,44.0,0.0
51067,2018-09-16,1552.0,PUNT,0.0,2018_02_ARI_LA,ARI,LA,ARI,34,0,11.0,0.0,0.13903555,Half1,2073.0,punt,0.8609644,60.0,0.0
52264,2018-09-16,145.0,PUNT,0.0,2018_02_KC_PIT,PIT,PIT,KC,37,42,0.0,0.0,0.45431122,Half1,3562.0,punt,0.54568875,48.0,0.0
52658,2018-09-16,815.0,PUNT,0.0,2018_02_MIA_NYJ,NYJ,NYJ,MIA,12,20,0.0,7.0,0.30505785,Half1,2662.0,punt,0.6949421,22.0,0.0
53732,2018-09-17,735.0,PUNT,0.0,2018_02_SEA_CHI,SEA,CHI,SEA,24,17,7.0,0.0,0.2156099,Half1,2910.0,punt,0.7843901,32.0,0.0
54123,2018-09-23,1239.0,PUNT,0.0,2018_03_CHI_ARI,ARI,ARI,CHI,14,16,14.0,0.0,0.8717402,Half1,2254.0,punt,0.12825978,21.0,0.0
55805,2018-09-23,2467.0,PUNT,0.0,2018_03_NYG_HOU,NYG,HOU,NYG,22,27,9.0,20.0,0.84960145,Half2,1255.0,punt,0.15039855,27.0,0.0
57482,2018-09-30,3589.0,PUNT,0.0,2018_04_CLE_OAK,CLE,LV,CLE,45,42,31.0,28.0,0.25325602,Half2,748.0,punt,0.746744,49.0,0.0
57999,2018-10-01,568.0,PUNT,0.0,2018_04_KC_DEN,DEN,DEN,KC,23,27,3.0,3.0,0.46454927,Half1,2986.0,punt,0.5354507,37.0,0.0
58201,2018-09-30,971.0,PUNT,0.0,2018_04_MIA_NE,MIA,NE,MIA,38,7,3.0,0.0,0.29388857,Half1,2660.0,punt,0.70611143,24.0,0.0
59015,2018-09-30,3513.0,PUNT,0.0,2018_04_PHI_TEN,TEN,TEN,PHI,26,23,20.0,17.0,0.80750555,Half2,114.0,punt,0.19249445,42.0,0.0
