player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Kyzir White,44485,LB,PHI,17,7,3.0,73.9,95.0,9.7,7.2,1,0,6,8.7,24,63.2,65.0,85.4,63.6,63.9,59.7,0,30,10.0,5,6,4,89.9,51,516,543,22,38,69,0,435,308,0.9,8.5
Trysten Hill,44519,DI,ARZ,13,0,,,0.8,,,0,0,0,,1,62.4,62.8,56.5,67.0,56.9,74.0,0,,0.0,0,0,1,0.0,0,1,122,2,1,0,0,0,0,0.0,
Brian Burns,44522,ED,CAR,16,4,1.7,50.0,11.0,19.7,9.8,3,0,1,16.7,5,78.3,64.5,32.6,71.3,50.9,49.5,0,19,20.0,2,1,7,66.0,3,65,590,13,4,6,0,32,21,0.5,10.7
D.J. Wonnum,44550,ED,MIN,16,1,5.3,75.0,9.7,12.0,9.0,0,0,0,0.0,18,57.1,58.0,86.8,54.5,61.3,69.9,0,19,33.3,2,0,0,110.4,3,37,382,6,3,4,0,44,28,1.2,14.7
Jack Heflin,44570,DI,NYG,1,0,,,8.3,,,0,0,0,,21,60.0,30.4,75.9,54.2,29.9,22.5,0,,,0,0,0,0.0,0,1,12,0,0,0,0,0,0,0.0,
Raekwon Davis,44582,DI,MIA,16,1,,,2.5,,,0,0,0,,17,54.1,43.4,60.0,62.6,36.4,54.8,0,,0.0,0,0,2,0.0,0,8,326,1,1,0,0,0,0,0.0,
Leki Fotu,44614,DI,ARZ,17,2,,,1.2,,,0,0,0,,1,58.6,32.4,20.8,47.2,37.9,40.5,0,,0.0,0,0,5,0.0,0,3,242,1,3,0,0,0,0,0.0,
Luke Masterson,45046,LB,LV,10,6,5.8,90.9,93.9,7.8,7.0,0,0,0,0.0,23,29.2,30.8,80.8,64.6,47.8,43.4,0,28,27.3,6,0,0,119.1,20,168,179,6,10,22,1,197,106,1.3,9.9
Terrell Burgess,45255,S,NYG,3,0,4.7,66.7,97.7,20.5,13.7,0,0,0,0.0,21,54.8,58.6,83.4,60.0,67.6,68.3,0,11,0.0,0,0,0,88.2,2,42,43,0,2,3,0,22,14,0.5,11.0
Essang Bassey,45258,CB,DEN,10,2,4.0,60.9,95.0,11.4,6.9,0,0,2,8.7,10,51.7,52.8,82.7,48.5,63.8,53.3,0,21,21.4,3,1,3,75.8,14,170,179,4,9,23,0,127,107,0.8,9.1
Jordan Fuller,45326,S,LA,3,1,3.8,83.3,100.0,12.0,10.0,0,0,0,0.0,26,55.4,60.5,76.1,,76.2,61.7,0,35,22.2,2,0,0,107.6,5,61,61,1,6,6,0,59,46,1.0,11.8
Zech McPhearson,45464,CB,PHI,6,0,14.8,50.0,98.4,20.0,10.0,0,0,1,16.7,24,50.0,51.7,0.0,60.0,68.7,81.6,0,16,0.0,0,1,1,71.5,3,63,64,1,4,6,0,40,2,0.7,13.3
Brandon Stephens,45644,CB,BLT,14,0,11.3,60.0,98.7,8.6,5.2,2,0,7,12.7,3,50.2,52.5,44.2,78.5,65.3,64.0,0,36,8.8,3,4,6,92.3,33,296,300,9,31,55,2,371,78,1.3,11.2
Scotty Miller,47481,WR,TB,1,0,,,100.0,,,0,0,0,,30,60.7,70.2,60.4,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
KaVontae Turpin,47658,WR,DAL,1,0,,,100.0,,,0,0,0,,9,60.7,70.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Nick Westbrook-Ikhine,47861,WR,TEN,2,0,,,100.0,,,0,0,0,,31,59.9,59.9,64.3,,,,0,,,0,0,2,0.0,0,2,2,0,0,0,0,0,0,0.0,
Kentavius Street,48404,DI,NO,17,1,,,1.4,,,0,0,0,,20,61.2,49.2,74.0,59.8,42.3,54.8,0,,33.3,1,0,1,0.0,0,4,285,5,1,0,0,0,0,0.0,
Anthony Nelson,48405,ED,TB,17,3,2.8,80.0,22.3,9.6,7.7,0,0,0,0.0,30,59.6,63.6,80.2,61.0,62.7,39.0,0,16,16.7,2,0,1,89.2,8,81,364,9,7,10,0,54,36,0.7,6.8
Jonathan Greenard,48407,ED,HST,8,0,,,1.2,,,0,0,0,,13,60.5,63.4,30.3,55.3,76.6,35.1,1,,75.0,3,0,3,0.0,0,2,169,2,1,0,0,0,0,0.0,
